asteroid_id,fname,distance_geo,dist_geo_Ur_upper,dist_geo_Ur_lower,dist_geo_U_upper,dist_geo_U_lower,distance_SSB,dist_SSB_U_upper,dist_SSB_U_lower,HEx,HEy,HEz,ELat,Phase_Ang,Escape_Vel,Object_Vel,min_a,min_e,min_i,max_i,MagCor_input,corr_to_V_apparent,H,H_lower,H_upper,chisq,size15,size15_lower,size15_upper,DorR,Tisserands_imin,Tisserands_imax
AH10001,ib2r03020_2_trailcut,1.965,0.2850000000000001,0.2299999999999999,0.2850000000000001,0.2299999999999999,2.085921316319052,0.2541865373547027,0.1987029616979687,2.5980932260104603E8,1.3793547617989767E8,1.041524821919696E8,7.492561664894694,28.60884864192296,29.09369246371219,13.144904467805754,1.3088388750066111,0.3347773669466372,8.744971714726832,145.1587595544874,23.278,23.00787343002852,18.684695453601243,19.17238968404488,18.14090587705899,0.8216000594049212,0.6289487810314437,0.5024310070934834,0.8079289962377962,D,4.910187765239074,3.2003375004238293
AH10006,ib4803020_4_trailcut,1.085,0.01,0.01,0.01,0.01,1.947518556382491,0.0094058102164018,0.0093998607604173,-2.5398865023958308E8,1.2425691132947886E8,7.022590473663786E7,2.952077745591666,19.90052887278609,30.109739815871507,19.101817602303225,1.6243163166532704,0.089700593525091,23.49862396492727,46.04061228361325,22.538,22.82663806779813,20.205622336681067,20.236234873951297,20.175238249390446,5.218100233908431,0.3121978465761071,0.3078274861294222,0.3165969455606457,D,4.224383940954046,3.9763026488462128
AH10009,ib4a28010_2_2_trailcut,1.225,0.06,0.0549999999999999,0.06,0.0549999999999999,2.1749378206203747,0.0591187506372774,0.0541487056402467,2.5843315463376817E8,1.969316813589539E8,1.7125826774942327E7,-11.096800390178627,9.96610661390802,28.49209490067497,22.042682585366,2.689136317737702,0.1940050986339298,11.096801251071197,18.54882035720508,23.805,23.564628441491863,20.7910508091906,20.94554874249613,20.62897901030832,13.641446890124064,0.2384208371958021,0.2220468527639466,0.2568967253733055,D,3.319207264503328,3.272311377647444
AH10012,ib4a28020_2_2_trailcut,1.535,0.1699999999999999,0.135,0.1699999999999999,0.135,2.4808286942242748,0.168157009871634,0.1333473181053537,2.956766451861919E8,2.240000470479884E8,1.1589621396293052E7,-12.206406486269316,8.72793703544886,26.6777634072528,18.95275323978004,2.492073160922531,0.0069958570631088,12.207736786876664,20.373255068882308,23.558,23.816030793267643,20.317996779879334,20.637871605680143,19.94750257205236,3.240788190886397,0.2964524299446984,0.2558468353027852,0.3516040395966121,D,3.440909802072255,3.385629664324716
AH10016,ib5t04020_4_trailcut,1.24,0.0349999999999999,0.0350000000000001,0.0349999999999999,0.0350000000000001,2.1017429412242628,0.0333831953643359,0.0333297419750717,-2.1551927834916183E8,1.675173314153992E8,1.5603516742978987E8,14.086543215650522,17.625863243237756,28.983978986735604,14.799455090563123,1.419043209386647,0.4036579312395845,14.086543220600152,35.07418748670682,21.959,21.68887343002852,18.68621294603925,18.7830976223402,18.591550751086626,0.5761128499482155,0.6285094056096511,0.6010835545892137,0.6565143454298564,D,4.594041661496641,4.449261522624962
AH10021,ib7g05010_3_trailcut,1.135,0.0149999999999999,0.02,0.0149999999999999,0.02,2.078502975228195,0.0146905777575936,0.0195804960996803,-2.9574931868346447E8,5.598470305542784E7,7.798396944990851E7,9.119006962907676,11.699517556241682,29.14556506238393,20.70521777318441,2.0877728466844583,0.0234051456376713,9.11900933084038,17.707268253015997,21.494,21.579245714900377,19.00199448135517,19.06115272848114,18.95819089751733,0.5336776265170479,0.5434448458943035,0.5288394255122668,0.5545186930418964,R,3.7430403374620846,3.699046335061691
AH10033,ibkl04040_3_trailcut,1.715,0.33,0.2349999999999998,0.33,0.2349999999999998,2.586130190162795,0.3221257662306684,0.2280646936617176,-3.5120336633963305E8,-2717673.266023504,1.622486050869758E8,22.803108698740587,13.312112479101208,26.1289894068796,16.124143703504856,2.082079094401815,0.2290148094219064,22.803111397523807,34.063437690379665,22.521,22.809638067798133,18.80160643205215,19.32209107962084,18.16454928207284,0.1127881971600432,0.595981918754208,0.4689603816665632,0.7991798292422411,R,3.6346134965034502,3.519567680965701
AH10037,ibl72u020_3_trailcut,1.885,0.1199999999999998,0.09,0.1199999999999998,0.09,2.480984978074488,0.1116862403887073,0.0832374366892105,-2.441622081608197E8,-2.7695061263072914E8,-3.788861848427755E7,11.721753310708875,21.954084320166093,26.67692314234225,20.5248545917892,3.018755880268269,0.2838707153698391,13.232817317091618,14.93549534500233,23.325,23.58303079326764,19.172414955717755,19.35275286565184,18.942783284379622,23.089534172366328,0.5024251598176386,0.4623850643390765,0.5584672546004763,R,3.14570841918934,3.1351462945749877
AH10046,ibl7a4020_1_trailcut,1.86,0.0350000000000001,0.03,0.0350000000000001,0.03,2.578769323229198,0.0333198596728552,0.0285240550537126,3.806189513155296E8,-5.372853559515253E7,3.267155808233527E7,7.648833507445033,17.94362613600498,26.16625426793021,19.62266485582516,2.928054028358091,0.1839422985064297,12.97094403829377,27.27800931175328,24.057,24.31503079326764,19.97726829440569,20.036730290927128,19.908909416730346,7.520955159047283,0.3468172670145962,0.3374491296047472,0.3579088910561099,D,3.2142715743550205,3.087911208674753
AH12396,ibpb63020_2_2_trailcut,2.645,0.0900000000000003,0.0849999999999999,0.0900000000000003,0.0849999999999999,3.2554967467635176,0.0869736189459486,0.0819867822237894,-4.5367751325601625E8,1.6976723591779697E8,5.039622071282005E7,-2.505721556191858,15.102876345394858,23.288374269378416,15.541370874510768,2.9232912041679486,0.0432268920624124,3.717550463738993,3.843071259400836,23.686,23.771245714900378,18.258912765954737,18.385228318211112,18.129002995399723,1.2048816333642258,0.7651944603561593,0.721952636655066,0.8123698025034463,R,3.2746183109435014,3.27440200225568
